ID,Lang,Blk,BlkTrlNum,TrlNum,Tar,Cue,TarPos,TarDir,Acc,RT
S111,B,B1,BT15,T15,Congruent,Spatial,Below,Left,1,532.09
S111,B,B1,BT16,T16,Congruent,Central,Below,Left,1,545
S111,B,B1,BT17,T17,Congruent,Spatial,Above,Left,1,621.21
S111,B,B1,BT18,T18,Incongruent,Spatial,Below,Left,1,590.74
S111,B,B1,BT19,T19,Incongruent,None,Below,Right,1,767.76
S111,B,B1,BT20,T20,Congruent,Double,Below,Right,1,541.24
S111,B,B1,BT21,T21,Incongruent,Central,Above,Right,1,925.83
S111,B,B1,BT22,T22,Congruent,Central,Above,Left,1,559.4
S111,B,B1,BT23,T23,Incongruent,Double,Below,Right,1,539.26
S111,B,B1,BT24,T24,Congruent,Spatial,Above,Left,1,552.44
S111,B,B1,BT25,T25,Incongruent,None,Below,Left,1,679.99
S111,B,B1,BT26,T26,Incongruent,Double,Above,Left,1,533.87
S111,B,B1,BT27,T27,Congruent,Central,Above,Right,1,590.5
S111,B,B1,BT28,T28,Incongruent,Spatial,Below,Left,1,514.17
S111,B,B1,BT29,T29,Congruent,Central,Below,Right,1,607.46
S111,B,B1,BT30,T30,Incongruent,Double,Above,Left,1,597.35
S111,B,B1,BT31,T31,Incongruent,None,Below,Left,1,539
S111,B,B1,BT32,T32,Incongruent,Double,Below,Left,1,582.59
S111,B,B1,BT33,T33,Incongruent,None,Above,Right,1,726.78
S111,B,B1,BT34,T34,Incongruent,Central,Above,Left,1,590.78
S111,B,B1,BT35,T35,Congruent,Central,Above,Right,1,425.26
S111,B,B1,BT36,T36,Incongruent,Central,Below,Right,1,714.85
S111,B,B1,BT37,T37,Incongruent,None,Below,Left,1,580.11
S111,B,B1,BT38,T38,Congruent,Double,Above,Left,1,408.03
S111,B,B1,BT39,T39,Congruent,Spatial,Below,Left,1,406.08
S111,B,B1,BT40,T40,Congruent,None,Above,Left,1,693.77
S111,B,B1,BT41,T41,Incongruent,Double,Above,Right,1,461.89
S111,B,B1,BT42,T42,Congruent,Central,Below,Right,1,535.98
S111,B,B1,BT43,T43,Incongruent,Central,Above,Right,1,550.24
S111,B,B1,BT44,T44,Congruent,Central,Below,Left,1,527.98
S111,B,B1,BT45,T45,Incongruent,Central,Below,Right,1,622.07
S111,B,B1,BT46,T46,Incongruent,Double,Below,Right,1,443.32
S111,B,B1,BT47,T47,Incongruent,Double,Below,Right,1,590.7
S111,B,B1,BT48,T48,Incongruent,None,Above,Left,1,715.55
S111,B,B1,BT49,T49,Incongruent,None,Above,Left,1,508.32
S111,B,B1,BT50,T50,Incongruent,Spatial,Above,Right,1,625.99
S111,B,B1,BT51,T51,Congruent,None,Below,Left,1,581.56
S111,B,B1,BT52,T52,Congruent,Spatial,Below,Right,1,436.56
S111,B,B1,BT53,T53,Incongruent,None,Above,Right,1,711.78
S111,B,B1,BT54,T54,Incongruent,Spatial,Above,Left,1,603.15
S111,B,B1,BT55,T55,Congruent,Spatial,Above,Right,1,591.1
S111,B,B1,BT56,T56,Incongruent,Spatial,Above,Left,1,638.6
S111,B,B1,BT57,T57,Congruent,Central,Below,Left,1,563.3
S111,B,B1,BT58,T58,Congruent,Double,Above,Left,1,465.12
S111,B,B1,BT59,T59,Incongruent,Double,Below,Left,1,559.61
S111,B,B1,BT60,T60,Congruent,Double,Above,Right,1,481.63
S111,B,B1,BT61,T61,Congruent,Spatial,Below,Left,1,529.84
S111,B,B1,BT62,T62,Congruent,Double,Below,Right,1,514.92
S111,B,B1,BT63,T63,Incongruent,Double,Above,Right,1,666.29
S111,B,B1,BT64,T64,Congruent,Central,Above,Left,1,461.86
S111,B,B1,BT65,T65,Congruent,Double,Below,Left,1,440.26
S111,B,B1,BT66,T66,Congruent,Spatial,Below,Right,1,522.93
S111,B,B1,BT67,T67,Congruent,None,Below,Left,1,526.34
S111,B,B1,BT68,T68,Incongruent,None,Below,Right,1,652.39
S111,B,B1,BT69,T69,Congruent,None,Above,Right,1,522.21
S111,B,B1,BT70,T70,Congruent,Spatial,Above,Left,1,474.37
S111,B,B1,BT71,T71,Congruent,None,Below,Right,1,527.57
S111,B,B1,BT72,T72,Congruent,None,Below,Right,1,517.45
S111,B,B1,BT73,T73,Congruent,None,Below,Right,1,441.12
S111,B,B1,BT74,T74,Incongruent,Central,Below,Right,1,745.72
S111,B,B1,BT75,T75,Congruent,None,Above,Left,1,725.31
S111,B,B1,BT76,T76,Congruent,Double,Above,Right,1,510.83
S111,B,B1,BT77,T77,Incongruent,Double,Above,Right,1,433.7
S111,B,B1,BT78,T78,Incongruent,None,Above,Left,1,553.72
S111,B,B1,BT79,T79,Congruent,None,Above,Right,1,583.84
S111,B,B1,BT80,T80,Incongruent,Double,Below,Left,1,762.42
S111,B,B1,BT81,T81,Congruent,None,Above,Right,1,526.16
S111,B,B1,BT82,T82,Congruent,None,Above,Left,1,662.63
S111,B,B1,BT83,T83,Congruent,Double,Below,Right,1,485.84
S111,B,B1,BT84,T84,Congruent,Double,Above,Right,1,601.64
S111,B,B1,BT85,T85,Incongruent,Central,Below,Left,1,650.9
S111,B,B1,BT86,T86,Incongruent,Central,Above,Left,1,583.73
S111,B,B1,BT87,T87,Incongruent,Central,Below,Left,1,662.95
S111,B,B1,BT88,T88,Incongruent,None,Below,Right,1,726.2
S111,B,B1,BT89,T89,Incongruent,Spatial,Below,Right,1,502.91
S111,B,B1,BT90,T90,Congruent,Spatial,Above,Right,1,711.96
S111,B,B1,BT91,T91,Incongruent,Central,Below,Left,1,588.18
S111,B,B1,BT92,T92,Incongruent,Spatial,Above,Right,1,514.54
S111,B,B1,BT93,T93,Congruent,Spatial,Above,Right,1,441.01
